,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
0,1,Bitcoin,BTC,bitcoin,10693,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19592531.0,19592531.0,False,,1,,,,2024-01-08T03:12:00.000Z,43446.75051028058,20653737392.86829,26.5857,-0.73762322,-1.29693494,2.13388667,-1.7084556,19.70169207,57.12362447,851231806221.9381,52.8635,912381760715.89,,2024-01-08T03:12:00.000Z,,,,,,<class 'pandas._libs.tslibs.timestamps.Timestamp'>
1,1027,Ethereum,ETH,ethereum,8193,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120184188.64525703,120184188.64525703,True,,2,,,,2024-01-08T03:12:00.000Z,2185.471810129256,7460559400.92918,26.2982,-0.88929004,-2.69189033,-4.61715314,-7.28745106,14.17913903,37.74601703,262659156307.46585,16.3118,262659156307.47,,2024-01-08T03:12:00.000Z,,,,,,<class 'pandas._libs.tslibs.timestamps.Timestamp'>
2,825,Tether USDt,USDT,tether,70759,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,93624627475.56465,96603058343.34058,True,,3,,,,2024-01-08T03:12:00.000Z,1.0005071687166138,36142642082.18224,11.2151,-0.00517566,-0.00715824,0.06202192,0.0278781,0.01934157,0.0467581,93672110957.72488,5.8173,96652052392.46,,2024-01-08T03:12:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,<class 'pandas._libs.tslibs.timestamps.Timestamp'>
3,1839,BNB,BNB,bnb,1994,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151690894.70043996,151690894.70043996,False,,4,,,,2024-01-08T03:12:00.000Z,294.37935861292004,909661036.0242082,5.5718,-1.1507332,-4.05727411,-5.53808127,21.37827422,18.26450585,42.13558086,44654668289.33551,2.7732,44654668289.34,,2024-01-08T03:12:00.000Z,,,,,,<class 'pandas._libs.tslibs.timestamps.Timestamp'>
4,5426,Solana,SOL,solana,611,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,431799379.9422361,566553641.3480974,True,,5,,,,2024-01-08T03:12:00.000Z,88.1336762440436,2496646029.885732,5.7912,-2.35547054,-5.16852971,-14.87908482,18.89620857,101.08331979,298.03548646,38056066754.20781,2.3634,49932455201.46,,2024-01-08T03:12:00.000Z,,,,,,<class 'pandas._libs.tslibs.timestamps.Timestamp'>
5,52,XRP,XRP,xrp,1197,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54210437480.0,99988065643.0,False,,6,,,,2024-01-08T03:12:00.000Z,0.5590840752895685,1466442893.0743418,79.9761,-2.23641224,-1.55438731,-9.15693939,-16.77021072,-19.03200364,11.60208636,30308192309.548767,1.882,55908407528.96,,2024-01-08T03:12:00.000Z,,,,,,<class 'pandas._libs.tslibs.timestamps.Timestamp'>
6,3408,USDC,USDC,usd-coin,16031,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25363981903.10171,25363981903.10171,False,,7,,,,2024-01-08T03:12:00.000Z,1.0000069552777084,3809218892.6755805,15.8002,-0.00974477,-0.00262614,-0.01017788,-0.00497261,-0.00764501,0.01411166,25364158316.63964,1.5752,25364158316.64,,2024-01-08T03:12:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,<class 'pandas._libs.tslibs.timestamps.Timestamp'>
7,2010,Cardano,ADA,cardano,1021,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35376627735.817,36513698485.298,False,,8,,,,2024-01-08T03:12:00.000Z,0.47667139263055774,493466847.570885,8.8624,-2.57618718,-8.64217776,-20.42232402,-15.70809138,30.80109129,89.2093012,16863026409.404705,1.0472,21450212668.38,,2024-01-08T03:12:00.000Z,,,,,,<class 'pandas._libs.tslibs.timestamps.Timestamp'>
8,5805,Avalanche,AVAX,avalanche,635,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,366583420.6179584,434616330.6179584,False,,9,,,,2024-01-08T03:12:00.000Z,32.25056204298185,674447800.9868206,8.8621,-3.12712892,-6.57089042,-17.37405325,1.45755843,145.00810138,237.11915223,11822521350.56798,0.7342,23220404670.95,,2024-01-08T03:12:00.000Z,,,,,,<class 'pandas._libs.tslibs.timestamps.Timestamp'>
9,74,Dogecoin,DOGE,dogecoin,868,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142562436383.70532,142562436383.70532,True,,10,,,,2024-01-08T03:12:00.000Z,0.07655128869439404,484805996.96663815,14.2526,-2.24163256,-5.39801191,-14.86211824,-24.796861,0.62713058,29.70062902,10913338224.58521,0.6777,10913338224.59,,2024-01-08T03:12:00.000Z,,,,,,<class 'pandas._libs.tslibs.timestamps.Timestamp'>
10,1958,TRON,TRX,tron,894,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88282950251.26797,88282966718.19261,True,,11,71659659264.0,7288656760.738356,,2024-01-08T03:12:00.000Z,0.10171213253870427,187210016.98056105,-7.8454,-0.65216075,-1.92089199,-5.62809293,-5.1649883,2.65771522,17.54233859,8979447136.864803,0.5576,8979448811.75,,2024-01-08T03:12:00.000Z,,,,,,<class 'pandas._libs.tslibs.timestamps.Timestamp'>
11,6636,Polkadot,DOT,polkadot-new,659,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1270616550.4244387,1397377032.1327903,True,,12,,,,2024-01-08T03:12:00.000Z,6.7280311102144585,265743303.57267308,8.3533,-1.683256,-5.63116491,-18.34331747,-8.53984979,31.83979413,74.56593881,8548747680.409002,0.5309,9401596144.89,,2024-01-08T03:12:00.000Z,,,,,,<class 'pandas._libs.tslibs.timestamps.Timestamp'>
12,11419,Toncoin,TON,toncoin,185,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3456246141.677389,5100790040.809603,True,,13,3414166606.0,7451637221.120942,,2024-01-08T03:12:00.000Z,2.1825640283709524,56782212.12332234,-19.0283,-0.65523905,0.68986031,-5.2539076,-6.57816197,-19.0826925,10.5601649,7543478502.020964,0.4685,11132800859.34,,2024-01-08T03:12:00.000Z,,,,,,<class 'pandas._libs.tslibs.timestamps.Timestamp'>
